Name	Acronym	RegulatoryStatus	Jurisdiction	RegulatoryAuthority	LegalDomain	LifecycleDomain	Description	Link
Medical Devices Regulations (Canada)	MDR (Canada)	Mandatory	Canada	Health Canada	AI/Data/Software+Pharma Intersection	Regulatory Review	Regulations governing medical devices including software-based devices.	https://laws-lois.justice.gc.ca/eng/regulations/sor-98-282/
Personal Information Protection and Electronic Documents Act	PIPEDA	Mandatory	Canada	OPC	General AI/Data/Software	Full Lifecycle	Canadian data protection law for commercial personal information.	https://laws-lois.justice.gc.ca/eng/acts/p-8.6/
Drug Administration Law of the People's Republic of China	DAL	Mandatory	China	NMPA	General Pharma	Full Lifecycle	Primary Chinese drug law governing lifecycle regulation of medicinal products including clinical trials, manufacturing, approval, and post-market surveillance under the NMPA.	http://www.nmpa.gov.cn
Personal Information Protection Law of the People's Republic of China	PIPL	Mandatory	China	National People’s Congress	General AI/Data/Software	Full Lifecycle	Comprehensive Chinese data protection law regulating processing of personal and sensitive data, including health and genetic information. Requires lawful basis, consent, security controls, and strict rules for cross-border data transfer.	https://www.chinalawtranslate.com/en/pipl/
Artificial Intelligence Act (EU Regulation 2024/1689)	EU AI Act	Mandatory	EU	European Commission	General AI/Data/Software	Full Lifecycle	EU legal framework for AI systems using a risk-based classification approach. Imposes obligations on high-risk AI including governance, transparency, data quality, human oversight, and post-market monitoring.	https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32024R1689
Clinical Trials Regulation (EU No 536/2014)	EU CTR	Mandatory	EU	EMA	General Pharma	Clinical	EU regulation harmonizing clinical trial authorization, conduct, and reporting via a centralized submission system (CTIS). Improves transparency, safety reporting, and consistency across member states.	https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32014R0536
DARWIN EU (Data Analysis and Real World Interrogation Network)	DARWIN EU	Industry Standard	EU	EMA	AI/Data/Software+Pharma Intersection	Post-Market	EU real-world data network enabling federated access to healthcare datasets for regulatory research. Supports evidence generation for pharmacovigilance, safety monitoring, and effectiveness studies using harmonized data sources.	https://www.ema.europa.eu/en/about-us/how-we-work/big-data/darwin-eu
EU AI Act Governance and Enforcement Framework	—	Mandatory	EU	EU AI Office / National Authorities	General AI/Data/Software	Full Lifecycle	Institutional enforcement structure for the EU AI Act, defining roles of the EU AI Office and national competent authorities responsible for supervision, conformity assessment, and market enforcement.	https://digital-strategy.ec.europa.eu/en/policies/european-ai-office
EU GMP Annex 11: Computerised Systems	—	Guidance	EU	EMA	AI/Data/Software+Pharma Intersection	Regulatory Review	EU GMP guidance defining validation, audit trail, access control, and lifecycle requirements for computerized systems used in GMP environments, including software and AI integrated into regulated processes.	https://health.ec.europa.eu/medicines-and-healthcare/eudralex/eudralex-volume-4_en
EU GMP Annex 22: Artificial Intelligence (Draft/Guidance)	—	Mandatory (Emerging)	EU	EMA	AI/Data/Software+Pharma Intersection	Manufacturing (mapped to Regulatory Review phase per your allowed schema boundary)	Draft/emerging GMP guidance addressing AI/ML use in manufacturing. Focuses on validation, transparency, human oversight, and restrictions on autonomous decision-making in critical GMP processes.	https://health.ec.europa.eu/medicines-and-healthcare/eudralex/eudralex-volume-4_en
European Health Data Space Regulation	EHDS	Mandatory (Emerging)	EU	European Commission	AI/Data/Software+Pharma Intersection	Post-Market	EU framework enabling secure primary and secondary use of health data for healthcare delivery and research. Establishes governance for data access, interoperability, and controlled use in research and innovation.	https://eur-lex.europa.eu/eli/reg/2025/327/oj
Falsified Medicines Directive (EU Directive 2011/62/EU)	FMD	Mandatory	EU	EMA / National Authorities	General Pharma	Post-Market	EU regulation introducing serialization and anti-tampering requirements for medicines. Enables verification across the supply chain to prevent counterfeit products and improve traceability.	https://health.ec.europa.eu/medicines-and-healthcare/falsified-medicines_en
General Data Protection Regulation (EU Regulation 2016/679)	GDPR	Mandatory	EU	European Commission	General AI/Data/Software	Full Lifecycle	EU data protection regulation governing processing of personal data, including health data. Requires lawful basis, consent, minimization, pseudonymization, and cross-border transfer controls.	https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32016R0679
Good Pharmacovigilance Practices (EU GVP Modules)	GVP	Mandatory	EU	EMA	General Pharma	Post-Market	EU pharmacovigilance framework defining requirements for safety monitoring, including adverse event reporting, signal detection, risk management plans, and periodic safety reporting.	https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/pharmacovigilance/good-pharmacovigilance-practices
Network and Information Security Directive 2 (EU Directive 2022/2555)	NIS2	Mandatory	EU	European Commission	General AI/Data/Software	Full Lifecycle	EU cybersecurity directive expanding obligations for critical infrastructure, including healthcare and pharma. Requires incident reporting, risk management, and supply chain cybersecurity controls.	https://digital-strategy.ec.europa.eu/en/policies/nis2-directive
Regulation (EC) No 726/2004	EU 726/2004	Mandatory	EU	EMA	General Pharma	Regulatory Review	EU regulation establishing centralized authorization procedure for medicinal products via EMA, including post-authorization safety oversight and regulatory coordination mechanisms.	https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32004R0726
EMA/FDA Guiding principles of good AI practice in drug development (EMA/FDA)	GMLP / AI Guidance	Mandatory (Emerging)	EU / US	FDA / EMA	General AI/Data/Software	Full Lifecycle	Joint FDA–EMA principles outlining shared expectations for responsible AI in drug development, including governance, transparency, risk management, and lifecycle monitoring.	https://www.ema.europa.eu/en/documents/other/guiding-principles-good-ai-practice-drug-development_en.pdf
Good Manufacturing Practice (EU GMP + US 21 CFR 210/211)	GMP	Mandatory	EU / US	FDA / EMA	General Pharma	Regulatory Review	Regulatory framework governing pharmaceutical manufacturing quality systems, including process validation, batch control, documentation, and inspection readiness.	https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfcfr/cfrsearch.cfm?cfrpart=210
G7 Code of Conduct for Advanced AI Systems	G7 AI Code	Industry Standard	G7	G7 AI Working Group	General AI/Data/Software	Full Lifecycle	Voluntary international framework for safe and responsible development of advanced AI systems, emphasizing transparency, security, and risk mitigation.	https://digital-strategy.ec.europa.eu/en/policies/g7-ai-process
AI Data Quality Standards	ISO/IEC 5259	Industry Standard	Global	ISO/IEC	AI/Data/Software+Pharma Intersection	Discovery and Development	Data quality standards for AI and machine learning systems, covering dataset quality, documentation, and bias mitigation.	https://www.iso.org/search.html?PROD_isoorg_en%5Bquery%5D=5259&PROD_isoorg_en%5Bmenu%5D%5Bfacet%5D=standard
AI Governance Standard	ISO/IEC 38507	Industry Standard	Global	ISO/IEC AI Governance	General AI/Data/Software	Full Lifecycle	AI governance standard defining organizational and board-level responsibilities for AI oversight and accountability.	https://www.iso.org/standard/56641.html
AI Management System Standard	ISO/IEC 42001	Industry Standard	Global	ISO/IEC	General AI/Data/Software	Full Lifecycle	First international AI management system standard defining governance, lifecycle controls, accountability, and auditability for AI systems.	https://www.iso.org/standard/81230.html
AI Risk Management Framework (NIST)	NIST AI RMF	Industry Standard	Global	NIST	General AI/Data/Software	Full Lifecycle	Risk management framework for AI systems defining governance functions across mapping, measuring, managing, and governing AI risks.	https://www.nist.gov/itl/ai-risk-management-framework
AI Risk Management Standard	ISO/IEC 23894	Industry Standard	Global	ISO/IEC	General AI/Data/Software	Full Lifecycle	AI risk management standard providing structured processes for identifying, assessing, and mitigating AI-specific risks.	https://www.iso.org/standard/77304.html
AI System Lifecycle Standard	ISO/IEC 5338	Industry Standard	Global	ISO/IEC	AI/Data/Software+Pharma Intersection	Full Lifecycle	AI system lifecycle standard defining processes for development, deployment, monitoring, and maintenance of AI systems.	https://www.iso.org/standard/81660.html
ALCOA+ Data Integrity Principles	ALCOA+	Industry Standard	Global	FDA / EMA / ICH	AI/Data/Software+Pharma Intersection	Full Lifecycle	Core data integrity framework requiring data to be attributable, legible, contemporaneous, original, and accurate (ALCOA), extended with completeness, consistency, durability, and availability. Applied across GLP, GCP, GMP, and pharmacovigilance systems; foundational expectation for audit trails and electronic data integrity in regulated environments.	https://www.fda.gov/regulatory-information/search-fda-guidance-documents/data-integrity-and-compliance-drug-gmp-questions-and-answers-guidance-industry
Business Continuity Management Systems	ISO 22301	Industry Standard	Global	ISO	General AI/Data/Software	Full Lifecycle	Business continuity management standard ensuring resilience of critical operations, including pharma manufacturing and pharmacovigilance systems.	https://www.iso.org/standard/75106.html
Clinical Data Interchange Standards Consortium Standards (SDTM / ADaM / Define-XML)	CDISC	Industry Standard	Global	CDISC Consortium	AI/Data/Software+Pharma Intersection	Clinical	Clinical data standards defining structured formats for regulatory submission datasets. Enables standardized analysis (ADaM) and tabulation (SDTM) for FDA/EMA/PMDA submissions. Supports reproducibility and interoperability of clinical trial data, including AI-processed datasets.	https://www.cdisc.org/standards
Good Automated Manufacturing Practice 5	GAMP 5	Industry Standard	Global	ISPE	AI/Data/Software+Pharma Intersection	Regulatory Review	Industry validation framework for computerized systems in regulated environments. Defines lifecycle validation approach (URS, IQ, OQ, PQ) for GxP software including AI systems.	https://ispe.org/publications/guidance-documents/gamp-5
Good Clinical Practice (ICH E6)	GCP	Mandatory	Global	ICH	General Pharma	Clinical	International ethical and scientific standard for clinical trials, ensuring protection of human subjects, data integrity, and clear sponsor/investigator responsibilities.	https://www.ich.org/page/efficacy-guidelines
Good Distribution Practice	GDP	Mandatory	Global	EMA	General Pharma	Post-Market	GDP defines requirements for pharmaceutical distribution, including traceability, temperature control, storage conditions, and prevention of counterfeit or damaged products entering supply chains.	https://health.ec.europa.eu/medicines-and-healthcare/eudralex/eudralex-volume-4_en
Health Level Seven Fast Healthcare Interoperability Resources	HL7 FHIR	Industry Standard	Global	HL7 International	AI/Data/Software+Pharma Intersection	Clinical	Healthcare interoperability standard defining structured formats and APIs for exchanging electronic health records, enabling integration across clinical, research, and AI systems.	https://hl7.org/fhir/
Health Software Product Safety Standard	ISO/IEC 82304-1	Industry Standard	Global	ISO/IEC	AI/Data/Software+Pharma Intersection	Regulatory Review	Standard for health software product safety and quality, particularly for standalone digital health applications and AI-based software.	https://www.iso.org/standard/59543.html
Industrial Cybersecurity Standard (ISA/IEC 62443)	IEC 62443	Industry Standard	Global	ISA / IEC	General AI/Data/Software	Full Lifecycle	Industrial cybersecurity standard for protecting operational technology (OT) systems, including manufacturing and pharmaceutical production environments.	https://www.isa.org/standards-and-publications/isa-standards/isa-iec-62443-series
Information Security Management Systems + Cybersecurity Framework	ISO 27001 / NIST CSF	Industry Standard	Global	ISO / NIST	General AI/Data/Software	Full Lifecycle	Combined cybersecurity framework: ISO 27001 defines information security management systems; NIST CSF provides operational cybersecurity functions (identify, protect, detect, respond, recover).	https://www.iso.org/standard/27001.html
International Council for Harmonisation Guidelines (Q/S/E/M Series)	ICH	Mandatory	Global	ICH	General Pharma	Full Lifecycle	Harmonized international regulatory framework covering quality (Q), safety (S), efficacy (E), and multidisciplinary (M) requirements for drug development and submission.	https://www.ich.org/page/search-index-ich-guidelines
Medical Device Risk Management Standard	ISO 14971	Industry Standard	Global	ISO	AI/Data/Software+Pharma Intersection	Full Lifecycle	Risk management standard for medical devices and health software, defining hazard identification, risk evaluation, and mitigation processes.	https://www.iso.org/standard/72704.html
Medical Device Software Lifecycle Standard	IEC 62304	Industry Standard	Global	IEC	AI/Data/Software+Pharma Intersection	Regulatory Review	Standard defining lifecycle processes for medical software development, maintenance, and risk classification, widely used for regulated clinical software and AI systems.	https://www.iso.org/standard/38421.html
Medical Devices Quality Management Systems	ISO 13485	Industry Standard	Global	ISO	AI/Data/Software+Pharma Intersection	Regulatory Review	Quality management system standard for medical devices, defining design controls, risk management, and regulatory compliance processes for device/software development.	https://www.iso.org/standard/59752.html
OECD Principles on Artificial Intelligence	OECD AI	Industry Standard	Global	OECD	General AI/Data/Software	Full Lifecycle	International principles for trustworthy AI including transparency, robustness, accountability, and human-centered design.	https://oecd.ai/en/ai-principles
Software as a Medical Device Framework (IMDRF/FDA aligned)	SaMD / IMDRF	Industry Standard	Global	IMDRF	AI/Data/Software+Pharma Intersection	Clinical	International framework defining classification and regulatory pathways for software as a medical device (SaMD), based on risk and clinical impact.	https://www.fda.gov/medical-devices/digital-health-center-excellence/software-medical-device-samd
Storage Security Standard	ISO 27040	Industry Standard	Global	ISO	General AI/Data/Software	Preclinical	Standard for secure data storage systems, covering protection of sensitive datasets such as clinical, genomic, and real-world evidence data.	https://www.iso.org/standard/44429.html
WHO Ethics and Governance of AI for Health	WHO AI Ethics	Guidance	Global	WHO	General AI/Data/Software	Full Lifecycle	WHO principles for responsible AI in health systems focusing on transparency, inclusiveness, and patient safety.	https://www.who.int/publications/i/item/9789240029200
Ayushman Bharat Digital Mission	ABDM	Industry Standard	India	MoHFW	AI/Data/Software+Pharma Intersection	Healthcare / Clinical / RWE	National digital health infrastructure enabling interoperable health records.	https://abdm.gov.in/
Digital Personal Data Protection Act (India, 2023)	DPDP Act	Mandatory	India	MeitY	General AI/Data/Software	Full Lifecycle	India’s modern data protection law governing digital personal data processing.	https://www.meity.gov.in/data-protection-framework
Drugs and Cosmetics Act (India, 1940)	D&C Act	Mandatory	India	Government of India	General Pharma	Full Lifecycle	Primary Indian drug law regulating manufacture, sale, and distribution of drugs.	https://cdsco.gov.in/opencms/opencms/en/Drugs-and-Cosmetics-Act-1940/
Medical Device Rules (India, 2017)	MDR (India)	Mandatory	India	CDSCO	AI/Data/Software+Pharma Intersection	Regulatory Review	Regulation covering medical devices including software-based devices.	https://cdsco.gov.in/opencms/opencms/en/Medical-Device-Rules-2017/
New Drugs and Clinical Trials Rules (India, 2019)	NDCTR	Mandatory	India	CDSCO	General Pharma	Clinical	Regulation governing clinical trials and new drug approvals in India.	https://cdsco.gov.in/opencms/opencms/en/New-Drugs-and-Clinical-Trials-Rules-2019/
Act on the Protection of Personal Information (Japan)	APPI	Mandatory	Japan	Cabinet Office Japan	General AI/Data/Software	Full Lifecycle	Data protection law governing personal data processing in Japan.	https://www.ppc.go.jp/en/legal/
Good Clinical Practice (Japan)	J-GCP	Mandatory	Japan	PMDA	General Pharma	Clinical	Clinical trial conduct standards aligned with ICH E6.	https://www.pmda.go.jp/english/review-services/reviews/0003.html
Good Vigilance Practice / Good Post-Marketing Study Practice (Japan)	J-GVP / GPSP	Mandatory	Japan	PMDA	General Pharma	Post-Market	Post-marketing safety and surveillance obligations for pharmaceuticals.	https://www.pmda.go.jp/english/safety/info-services/drugs/0001.html
Pharmaceuticals and Medical Devices Act (Japan)	PMD Act	Mandatory	Japan	PMDA	Mixed Pharma + AI/Data+Device	Full Lifecycle	Core Japanese law governing pharmaceuticals, medical devices, and SaMD regulation.	https://www.pmda.go.jp/english/about-pmda/0001.html
SAKIGAKE Designation System	SAKIGAKE	Industry Standard	Japan	PMDA	Mixed Pharma + AI/Data	Regulatory Review	Accelerated approval pathway for innovative drugs and digital health technologies.	https://www.pmda.go.jp/english/about-pmda/0002.html
SaMD / Digital Health Guidance (PMDA)	SaMD	Guidance	Japan	PMDA	AI/Data/Software+Pharma Intersection	Clinical / Regulatory Review	Regulatory guidance for software as a medical device including AI-based systems.	https://www.pmda.go.jp/english/review-services/reviews/0004.html
Health Products Act (Singapore)	HPA	Mandatory	Singapore	HSA	General Pharma	Full Lifecycle	Singapore law regulating health products including medicines and devices.	https://sso.agc.gov.sg/Act/HPA2007
HSA SaMD Guidance GN-23 / GN-27	GN-23 / GN-27	Guidance	Singapore	HSA	AI/Data/Software+Pharma Intersection	Clinical / Regulatory Review	Regulatory guidance for software as a medical device.	https://www.hsa.gov.sg/medical-devices
Model AI Governance Framework (Singapore IMDA)	IMDA AI Gov	Industry Standard	Singapore	IMDA	General AI/Data/Software	Full Lifecycle	National framework for responsible AI development and deployment.	https://www.imda.gov.sg/
Personal Data Protection Act (Singapore)	PDPA	Mandatory	Singapore	PDPC	General AI/Data/Software	Full Lifecycle	Data protection law governing personal data in Singapore.	https://sso.agc.gov.sg/Act/PDPA2012
Medical Device Software / AI Guidance (MFDS Korea)	MFDS SaMD	Guidance	South Korea	MFDS	AI/Data/Software+Pharma Intersection	Clinical / Regulatory Review	Regulatory guidance for AI-based medical devices.	https://www.mfds.go.kr/eng/
Personal Information Protection Act (South Korea)	PIPA	Mandatory	South Korea	PIPC	General AI/Data/Software	Full Lifecycle	Korean data protection law governing personal information processing.	https://www.pipc.go.kr/eng/
Pharmaceutical Affairs Act (South Korea)	PAA	Mandatory	South Korea	MFDS	General Pharma	Full Lifecycle	Core Korean pharmaceutical regulation framework.	https://www.mfds.go.kr/eng/
Federal Act on Data Protection (Switzerland)	FADP	Mandatory	Switzerland	Federal Council	General AI/Data/Software	Full Lifecycle	Swiss data protection law governing personal data processing.	https://www.fedlex.admin.ch/eli/cc/2022/491/en
Swissmedic Medical Device Software Guidance	MDSW	Guidance	Switzerland	Swissmedic	AI/Data/Software+Pharma Intersection	Regulatory Review	Guidance on classification and requirements for medical device software.	https://www.swissmedic.ch/swissmedic/en/home/medical-devices.html
Therapeutic Products Act (Switzerland)	TPA	Mandatory	Switzerland	Swissmedic	General Pharma	Full Lifecycle	Swiss law regulating therapeutic products including drugs and devices.	https://www.swissmedic.ch/
AI Airlock Programme (MHRA UK)	AI Airlock	Guidance	UK	MHRA	AI/Data/Software+Pharma Intersection	Clinical / Regulatory Review	Regulatory sandbox enabling real-world evaluation of AI medical devices under MHRA supervision.	https://www.gov.uk/government/collections/ai-airlock-programme
Data Protection Act 2018 (UK)	DPA 2018	Mandatory	UK	UK Parliament	General AI/Data/Software	Full Lifecycle	UK implementing legislation complementing UK GDPR.	https://www.legislation.gov.uk/ukpga/2018/12/contents
Human Medicines Regulations 2012	HMR 2012	Mandatory	UK	UK Government	General Pharma	Clinical / Regulatory Review	UK statutory framework governing authorization, manufacture, and distribution of medicines.	https://www.legislation.gov.uk/uksi/2012/1916/contents/made
Human Medicines Regulations 2012 (Clinical Trials provisions)	HMR CT	Mandatory	UK	HRA / MHRA	General Pharma	Clinical	Regulatory framework governing clinical trial authorization and ethics approval in the UK.	https://www.hra.nhs.uk/planning-and-improving-research/policies-standards-legislation/
MHRA SaMD / AI Guidance	SaMD Guidance	Guidance	UK	MHRA	AI/Data/Software+Pharma Intersection	Clinical	UK regulatory guidance defining classification and oversight expectations for software and AI used in medical and clinical contexts.	https://www.gov.uk/government/publications/software-and-ai-as-a-medical-device
NHS Data Security and Protection Toolkit	DSPT	Guidance	UK	NHS England	AI/Data/Software+Pharma Intersection	Full Lifecycle	Self-assessment framework for data security compliance in NHS data environments.	https://www.dsptoolkit.nhs.uk/
Software and AI as a Medical Device Guidance (MHRA)	SaMD Guidance	Guidance	UK	MHRA	AI/Data/Software+Pharma Intersection	Clinical / Regulatory Review	UK guidance defining classification and regulatory expectations for AI and software used as medical devices.	https://www.gov.uk/government/publications/software-and-ai-as-a-medical-device
UK General Data Protection Regulation	UK GDPR	Mandatory	UK	UK Parliament	General AI/Data/Software	Full Lifecycle	Data protection law governing processing of personal and health data in the UK.	https://www.legislation.gov.uk/eur/2016/679/contents
Cybersecurity Guidance for Medical Devices	FDA Cybersecurity	Guidance	US	FDA	General AI/Data/Software	Full Lifecycle	FDA guidance requiring cybersecurity controls for medical devices and connected systems, including secure design, vulnerability management, and Software Bill of Materials (SBOM).	https://www.fda.gov/medical-devices/digital-health-center-excellence/cybersecurity
Data Integrity Guidance for Industry	FDA Data Integrity	Guidance	US	FDA	AI/Data/Software+Pharma Intersection	Full Lifecycle	US FDA guidance defining expectations for trustworthy electronic data in GxP systems, including audit trails, metadata integrity, and prevention of data falsification.	https://www.fda.gov/regulatory-information/search-fda-guidance-documents/data-integrity-and-compliance-drug-cgmp-questions-and-answers-guidance-industry
Drug Supply Chain Security Act	DSCSA	Mandatory	US	FDA	General Pharma	Post-Market	US law establishing electronic, interoperable traceability of prescription drugs at package level. Enables verification, serialization, suspect product investigation, and recall management across the pharmaceutical supply chain.	https://www.fda.gov/drugs/drug-supply-chain-security-act-dscsa
FDA 21 CFR Part 11	21 CFR Part 11	Mandatory	US	FDA	AI/Data/Software+Pharma Intersection	Full Lifecycle	US regulation defining requirements for electronic records and signatures in regulated environments. Requires audit trails, system validation, access controls, and data integrity safeguards for GxP systems.	https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfcfr/cfrsearch.cfm?cfrpart=11
Good Laboratory Practice	GLP (21 CFR 58)	Mandatory	US	FDA	General Pharma	Preclinical	US regulation governing non-clinical laboratory studies supporting drug development, requiring SOPs, QA oversight, and data traceability for toxicology and safety studies.	https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfcfr/cfrsearch.cfm?CFRPart=58
Good Machine Learning Practice	FDA GMLP	Guidance	US	FDA	AI/Data/Software+Pharma Intersection	Full Lifecycle	FDA principles for developing safe and effective machine learning systems in medical contexts, emphasizing dataset representativeness, validation, monitoring, and clinical safety.	https://www.fda.gov/medical-devices/software-medical-device-samd/good-machine-learning-practice-medical-device-development-guiding-principles
Investigational New Drug Application Regulations (21 CFR Part 312)	IND	Mandatory	US	FDA	General Pharma	Clinical	US regulation governing Investigational New Drug applications for human clinical trials, including preclinical evidence requirements, protocol submission, and regulatory authorization before first-in-human studies.	https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfcfr/cfrsearch.cfm?cfrpart=312
NDA/BLA Regulations	21 CFR 314/601	Mandatory	US	FDA	General Pharma	Regulatory Review	US regulatory framework for New Drug Applications and Biologics License Applications. Defines requirements for safety, efficacy, manufacturing controls (CMC), labeling, and post-market obligations.	https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfcfr/cfrsearch.cfm?cfrpart=314
Real-World Evidence Program	FDA RWE	Industry Standard	US	FDA	AI/Data/Software+Pharma Intersection	Post-Market	FDA framework enabling use of real-world data for regulatory decisions such as label expansions and safety evaluations. Defines expectations for data quality and analytical validation.	https://www.fda.gov/science-research/science-and-research-special-topics/real-world-evidence
Sentinel Initiative	FDA Sentinel	Industry Standard	US	FDA	AI/Data/Software+Pharma Intersection	Post-Market	US active surveillance system using distributed healthcare data networks to monitor post-market drug safety and detect adverse events in near real time.	https://www.fda.gov/safety/fdas-sentinel-initiative
